position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
8,female,Respondent is female,DEMOGRAPHIC,DEMOGRAPHIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V8?name=female
9,age,Respondent age,DEMOGRAPHIC,DEMOGRAPHIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V9?name=age
10,educ,Respondent education level,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.9515,LOW_UNDER_25,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V10?name=educ
11,inc_q,Within-economy household income quintile,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V11?name=inc_q
12,emp_in,Respondent is in workforce,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V12?name=emp_in
85,fin24c,Experienced a natural disaster or severe weather event,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Exogenous shock measure; temporal overlap should be retained as a limitation.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Exogenous shock measure; temporal overlap should be retained as a limitation.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V85?name=fin24c
131,internet_use,Used the internet within the past three months,DIGITAL,DIGITAL;CONSTRUCTED;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V131?name=internet_use
132,con1,Have a mobile phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,CANDIDATE_CORE,YES,LOW,Plausibly available as a profile characteristic before prediction.,Interpretable pre-outcome profile characteristic with usable coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V132?name=con1
146,con9,Type of phone,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V146?name=con9
148,con11,SIM registered in own name,DIGITAL,DIGITAL;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,11.2274,LOW_UNDER_25,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Plausibly available as a profile characteristic before prediction.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V148?name=con11
